ADDRESS,ASSESSED_VALUE,PROPERTY_TYPE,VALUE_CLEAN
800 602 12 AV SW,"163,500",LI,163500.0
810 396 11 AV SW,"409,000",LI,409000.0
810 602 12 AV SW,"263,500",LI,263500.0
815 602 12 AV SW,"153,000",LI,153000.0
820 396 11 AV SW,"264,000",LI,264000.0
820 602 12 AV SW,"218,000",LI,218000.0
830 396 11 AV SW,"418,000",LI,418000.0
830 602 12 AV SW,"207,500",LI,207500.0
840 396 11 AV SW,"414,000",LI,414000.0
850 396 11 AV SW,"423,000",LI,423000.0
900 602 12 AV SW,"423,000",LI,423000.0
910 396 11 AV SW,"406,000",LI,406000.0
910 602 12 AV SW,"326,000",LI,326000.0
920 396 11 AV SW,"262,000",LI,262000.0
920 602 12 AV SW,"293,500",LI,293500.0
930 396 11 AV SW,"419,500",LI,419500.0
940 396 11 AV SW,"406,000",LI,406000.0
950 396 11 AV SW,"423,000",LI,423000.0
313 10 AV SE,"1,750,000",LO,1750000.0
120 10 AV SW,"14,800,000",LI,14800000.0
130 10 AV SE,"18,200,000",LI,18200000.0
340 10 AV SW,"41,200,000",LI,41200000.0
340 10 AV SW,"41,200,000",LI,41200000.0
710 14 AV SW,"4,180,000",LI,4180000.0
305 11 AV SE,"472,000",LI,472000.0
707 13 AV SW,"20,930,000",LI,20930000.0
1001 1 ST SE,"1,860,000",LI,1860000.0
1001 10 AV SW,"3,710,000",LI,3710000.0
1005 11 AV SW,"3,700,000",LI,3700000.0
1011 1 ST SW,"4,230,000",LI,4230000.0
1014 12 AV SW,"1,230,000",LI,1230000.0
1015 4 ST SW,"7,600,000",LI,7600000.0
1018 MACLEOD TR SE,"2,490,000",LI,2490000.0
102 11 AV SE,"1,180,000",LI,1180000.0
1021 10 AV SW,"4,200,000",LI,4200000.0
1030 10 AV SW,"5,180,000",LI,5180000.0
1032 17 AV SW,"2,590,000",LI,2590000.0
1036 10 AV SW,"2,380,000",LI,2380000.0
1040 11 AV SW,"9,870,000",LO,9870000.0
1040 11 AV SW,"9,870,000",LO,9870000.0
1040 11 AV SW,"9,870,000",LO,9870000.0
105 12 AV SE,"4,720,000",LI,4720000.0
106 11 AV SW,"1,950,000",LO,1950000.0
106 11 AV SW,"1,950,000",LO,1950000.0
106 11 AV SW,"1,950,000",LO,1950000.0
110 11 AV SE,"1,220,000",LI,1220000.0
110 11 AV SW,"3,450,000",LI,3450000.0
110 12 AV SW,"26,520,000",LI,26520000.0
1100 1 ST SE,"62,950,000",LI,62950000.0
1111 11 AV SW,"5,000,000",LI,5000000.0
1111 11 AV SW,"5,000,000",LI,5000000.0
1111 11 AV SW,"5,000,000",LI,5000000.0
1111 11 AV SW,"5,000,000",LI,5000000.0
1111 11 AV SW,"5,000,000",LI,5000000.0
1111 3 ST SE,"1,020,000",LI,1020000.0
1117 MACLEOD TR SE,"2,330,000",LI,2330000.0
1119 1 ST SE,"3,920,000",LI,3920000.0
1119 1 ST SE,"3,920,000",LI,3920000.0
